# ----------------------------------------
# Confira a visão geral de engajamento e retenção de usuários
# Conta: Fymoob - Reserva Barigui
# Propriedade: Fymoob - Reserva Barigui
# ----------------------------------------
#  
# Data de início: 20260101
# Data de término: 20260429
Nª semana,Usuários ativos
0000,29
0001,92
0002,16
0003,77
0004,93
0005,82
0006,95
0007,83
0008,84
0009,82
0010,75
0011,99
0012,85
0013,95
0014,99
0015,90
0016,94
0017,57

# Data de início: 20260101
# Data de término: 20260429
Nª semana,Novos usuários
0000,29
0001,91
0002,16
0003,74
0004,89
0005,75
0006,91
0007,80
0008,78
0009,79
0010,71
0011,96
0012,80
0013,92
0014,93
0015,83
0016,87
0017,53

# Qual é a origem dos novos usuários?
# Data de início: 20260101
# Data de término: 20260429
Grupo principal de canais do primeiro usuário (Agrupamento de canais padrão),Novos usuários
Paid Search,1299
Direct,35
Cross-network,20
Organic Search,3

#  
# Data de início: 20260101
# Data de término: 20260429
Título da página e classe da tela,Visualizações
Reserva Barigui,2075
Barigui Reserve,1

#  
# Data de início: 20260101
# Data de término: 20260429
Plataforma,Usuários ativos
"[""Web""]",1370

#  
# Data de início: 20260101
# Data de término: 20260429
Coorte,Dia 1,Dia 7,Dia 30
0,0,0,0
1,0.05555555555555555,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0.058823529411764705,0,0
7,0.047619047619047616,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0.07142857142857142,0,0
20,0,0,0
21,0.07692307692307693,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0.08333333333333333,0,0
30,0.05263157894736842,0,0
31,0,0,0
32,0.1,0,0
33,0,0,0
34,0.08333333333333333,0,0
35,0.07142857142857142,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0.06666666666666667,0,0
45,0,0,0
46,0.1111111111111111,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0.05555555555555555,0,0
52,0.1,0,0
53,0,0,0
54,0,0.05263157894736842,0
55,0,0,0
56,0,0.1,0
57,0,0,0
58,0,0,0
59,0,0.1111111111111111,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0.058823529411764705,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0.0625,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0.2,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0.1,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0.045454545454545456,0,0
89,0,0,0
90,0,0,0
91,0.06666666666666667,0,0
92,0,0,0
93,0.05555555555555555,0,0
94,0,0,0
95,0.08333333333333333,0,0
96,0,0,0
97,0.09090909090909091,0,0
98,0,0,0
99,0,0,0
100,0.07142857142857142,0,0
101,0.06666666666666667,0,0
102,0,0,0
103,0.058823529411764705,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0.1111111111111111,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0.0625,0,0
118,0,0,0

#  
# Data de início: 20260101
# Data de término: 20260429
Coorte,Dia 1,Dia 7,Dia 30
0,0,0,0
1,1,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,15,0,0
7,60,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,20,0,0
20,0,0,0
21,31,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,231,0,0
30,92,0,0
31,0,0,0
32,79,0,0
33,0,0,0
34,1,0,0
35,30,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,137,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,8,0,0
53,0,0,0
54,0,83,0
55,0,0,0
56,0,131,0
57,0,0,0
58,0,0,0
59,0,72,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,27,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,11,0
76,0,0,0
77,0,0,0
78,0,0,0
79,108,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,20,0,0
89,0,0,0
90,0,0,0
91,9,0,0
92,0,0,0
93,81,0,0
94,0,0,0
95,8,0,0
96,0,0,0
97,51,0,0
98,0,0,0
99,0,0,0
100,20,0,0
101,65,0,0
102,0,0,0
103,5,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,504,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,6,0,0
118,0,0,0

#  
# Data de início: 20260318
# Data de término: 20260428
Coorte,Tempo médio de engajamento por usuário ativo
0000,57.56676849859071
0001,20.88095238095238
0002,5.658536585365853
0003,6.65
0004,2.6153846153846154
0005,6.842105263157895
0006,2.4864864864864864
0007,0
0008,0
0009,1.411764705882353
0010,0.6060606060606061
0011,0
0012,0
0013,0
0014,1.793103448275862
0015,0
0016,0.07407407407407407
0017,0
0018,0
0019,0
0020,3.217391304347826
0021,0
0022,18.38095238095238
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,3.25
0036,0
0037,0
0038,0
