# ----------------------------------------
# Consultas: Consulta de Pesquisa orgânica do Google
# Conta: Fymoob - Reserva Barigui
# Propriedade: Fymoob - Reserva Barigui
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260101
# Data de término: 20260429
Consulta de Pesquisa orgânica do Google,Cliques orgânicos da Pesquisa Google,Impressões orgânicas da Pesquisa Google,Taxa de cliques orgânica da Pesquisa Google,Posição média da Pesquisa orgânica do Google
fymoob,524,799,0.655819774718398,1.1476846057571966
fymob,18,35,0.5142857142857142,2.3714285714285714
flymob,4,18,0.2222222222222222,1.5
ama 1108,1,102,0.00980392156862745,4.862745098039216
bw residence,1,188,0.005319148936170213,8.069148936170212
casas para alugar,1,1,1,3
academia smart fit batel,0,1,0,45
agencia de marketing em curitiba,0,1,0,1
agencias de marketing curitiba,0,1,0,1
alberto kosop 280,0,20,0,9.35
aluguel,0,4,0,11.25
aluguel apartamento,0,1,0,11
aluguel de apartamento,0,1,0,11
aluguel de casa,0,1,0,11
aluguel de casas,0,1,0,11
aluguel imoveis curitiba,0,1,0,8
aluguel no portao curitiba,0,1,0,12
aluguel portao,0,10,0,10.2
apartamento a venda em curitiba,0,1,0,3
apartamento a venda no cajuru,0,1,0,54
apartamento a venda portão curitiba,0,1,0,6
apartamento alugar portao,0,1,0,7
apartamento aluguel,0,4,0,11
apartamento essence novo mundo,0,1,0,1
apartamento mobiliado em curitiba,0,1,0,4
apartamento para alugar,0,4,0,11
apartamento para alugar curitiba,0,3,0,11.333333333333334
apartamento para alugar no portão,0,1,0,1
apartamento para alugar portao,0,2,0,8
apartamento portao aluguel,0,25,0,9.76
apartamento venda portão,0,2,0,11
apartamentos a venda no portao curitiba pr,0,1,0,2
apartamentos para alugar,0,2,0,11
apartamentos para alugar em curitiba,0,2,0,2
apartamentos para alugar portão curitiba,0,3,0,9
apartamentos pra alugar,0,1,0,11
bairro vitoria regia curitiba,0,1,0,84
bw residences,0,4,0,8.5
campina das pedras araucaria,0,2,0,38
casa para alugar com piscina curitiba,0,1,0,10
casa para alugar perto de mim,0,1,0,9
casa para locação,0,1,0,1
