codigo,bairro,endereco,numero,status,lat,lng,motivo
69805458,"Capão da Imbuia","Antônio Simm",151,ERRADA,-13.901082,-50.713422,"Fora de Curitiba (esperado lat -26.2..-25, lng -50..-48.5)"
AP00831,"Tatuquara","Presidente João Goulart",585,ERRADA,-13.901082,-50.713422,"Fora de Curitiba (esperado lat -26.2..-25, lng -50..-48.5)"
CA02716,"Cidade Jardim","Capitão Thomaz Carvalho de Camargo",451,ERRADA,-13.901082,-50.713422,"Fora de Curitiba (esperado lat -26.2..-25, lng -50..-48.5)"
69802196,"Cabral","RUA VITÓRIA",341,FALTA,,,"Sem coord no CRM"
69802979,"Batel","Hermes Fontes",431,FALTA,,,"Sem coord no CRM"
69803496,"Cidade Industrial","Almezina Eugênia Ferreira",138,FALTA,,,"Sem coord no CRM"
69803879,"Mossunguê","RODOVIA BR-277 CURITIBA-PONTA GROSSA",315,FALTA,,,"Sem coord no CRM"
69804079,"Fazendinha","Raul Félix",132,FALTA,,,"Sem coord no CRM"
69804144,"Mossunguê","Monsenhor Ivo Zanlorenzi",1465,FALTA,,,"Sem coord no CRM"
69804163,"Bigorrilho","Euclides da Cunha",1278,FALTA,,,"Sem coord no CRM"
69804172,"Mossunguê","Monsenhor Ivo Zanlorenzi",1465,FALTA,,,"Sem coord no CRM"
69804176,"Bigorrilho","Euclides da Cunha",1278,FALTA,,,"Sem coord no CRM"
69804217,"Bairro Alto","José de Oliveira Franco",236,FALTA,,,"Sem coord no CRM"
69804221,"Santa Cândida","Paulo Kulik",182,FALTA,,,"Sem coord no CRM"
69804349,"Portão","RUA PONTA GROSSA",366,FALTA,,,"Sem coord no CRM"
69804700,"Cidade Industrial","Ladislau Luka",752,FALTA,,,"Sem coord no CRM"
69804775,"Campo Comprido","Bela Vista do Paraíso",60,FALTA,,,"Sem coord no CRM"
69804954,"Novo Mundo","Affife Mansur",688,FALTA,,,"Sem coord no CRM"
69804959,"Novo Mundo","Affife Mansur",688,FALTA,,,"Sem coord no CRM"
69805010,"Umbará","Vereador Ângelo Burbello",2757,FALTA,,,"Sem coord no CRM"
69805435,"Centro","Lourenço Jasiocha",1928,FALTA,,,"Sem coord no CRM"
69805494,"Cidade Industrial","Hortêncio Marino dos Santos",92,FALTA,,,"Sem coord no CRM"
69805549,"Mossunguê","Monsenhor Ivo Zanlorenzi",1465,FALTA,,,"Sem coord no CRM"
