Páginas principais,Cliques,Impressões,CTR,Posição
https://fymoob.com/,580,1747,33.2%,3.84
https://fymoob.com/busca?finalidade=Aluguel&order=menor-preco,12,882,1.36%,2.6
https://fymoob.com/contato,11,1112,0.99%,2.63
https://fymoob.com/busca?tipo=Casa&ordenar,9,824,1.09%,1.48
https://fymoob.com/imovel/apartamento-batel-curitiba-pr-263m2-69803405,9,537,1.68%,7.19
https://fymoob.com/sobre,7,708,0.99%,2.66
https://fymoob.com/imovel/loja-xaxim-curitiba-pr-55.85m2-69804208,7,141,4.96%,10.7
https://fymoob.com/imovel/chacara-campina-das-pedras-araucaria-pr-2-quartos-68000m2-69802233,6,138,4.35%,8.65
https://fymoob.com/imovel/studio-portao-curitiba-pr-1-quartos-23.65m2-69804395,5,158,3.16%,5.7
https://fymoob.com/imovel/sala-comercial-campina-do-siqueira-curitiba-pr-37.9m2-69802215,4,72,5.56%,8.1
https://fymoob.com/imovel/apartamento-duplex-mossungue-curitiba-pr-2-quartos-116.83m2-69804720,4,52,7.69%,10.83
https://fymoob.com/busca?finalidade=Venda&order=menor-preco&min=10000.00,3,614,0.49%,1.69
https://fymoob.com/busca?tipo=Ch%C3%A1cara&listagem=lista,3,492,0.61%,1.47
https://fymoob.com/imovel/sobrado-cidade-industrial-curitiba-pr-3-quartos-88m2-69803496,3,140,2.14%,9.19
https://fymoob.com/imovel/apartamento-campina-do-siqueira-curitiba-pr-3-quartos-198m2-69804789,3,63,4.76%,9.43
https://fymoob.com/imovel/AP00945/apartamento-3-quartos-mossungue-curitiba/venda,2,69,2.9%,9.06
https://fymoob.com/imovel/sobrado-santa-quiteria-curitiba-pr-3-quartos-107m2-69804095,2,62,3.23%,8.06
https://fymoob.com/busca?DestaqueWeb=Sim&Lancamento=Sim,1,559,0.18%,1.59
https://fymoob.com/imovel/casa-em-condominio-portao-curitiba-pr-3-quartos-69803237,1,290,0.34%,9.77
https://fymoob.com/anuncie,1,238,0.42%,5.41
https://fymoob.com/imovel/apartamento-portao-curitiba-pr-2-quartos-56.09m2-AP00822,1,78,1.28%,7.91
https://fymoob.com/imovel/apartamento-mossungue-curitiba-pr-1-quartos-61.91m2-AP00762,1,53,1.89%,8.72
https://fymoob.com/imovel/apartamento-batel-curitiba-pr-3-quartos-200m2-AP01034,1,52,1.92%,13.35
https://fymoob.com/imovel/studio-mossungue-curitiba-pr-1-quartos-48.72m2-69803879,1,47,2.13%,7.4
https://fymoob.com/imovel/apartamento-cidade-industrial-curitiba-pr-2-quartos-44.17m2-69803256,1,40,2.5%,6.12
https://fymoob.com/imovel/apartamento-cajuru-curitiba-pr-1-quartos-25.11m2-69804451,1,40,2.5%,6.72
